algorithm,maze_rows,maze_cols,density,trial,runtime,peak_memory,path_length,nodes_explored,success
BFS,10,10,0.4,9,6.809993647038937e-05,6328,18,45,1
DFS,10,10,0.4,9,0.00010269996710121632,4032,18,25,1
Astar,10,10,0.4,9,8.969998452812433e-05,5072,18,28,1
ACO,10,10,0.4,9,0.12096059997566044,7000,18,17866,1
BFS,10,10,0.4,10,8.510006591677666e-05,6328,18,55,1
DFS,10,10,0.4,10,0.00019599997904151678,5728,22,50,1
Astar,10,10,0.4,10,0.00011469994205981493,5048,18,34,1
ACO,10,10,0.4,10,0.1152840000577271,7000,18,19006,1
BFS,10,10,0.4,11,6.97999494150281e-05,6328,18,55,1
DFS,10,10,0.4,11,0.00014160003047436476,5728,26,40,1
Astar,10,10,0.4,11,0.00012790004257112741,7832,18,49,1
ACO,10,10,0.4,11,0.13617059995885938,6872,18,18442,1
BFS,10,10,0.4,12,7.670000195503235e-05,6328,18,50,1
DFS,10,10,0.4,12,8.619995787739754e-05,4096,18,20,1
Astar,10,10,0.4,12,0.00012440001592040062,7832,18,41,1
ACO,10,10,0.4,12,0.1411884999834001,7000,18,18822,1
BFS,10,10,0.4,13,8.779997006058693e-05,6328,18,56,1
DFS,10,10,0.4,13,0.00015680002979934216,5728,24,37,1
Astar,10,10,0.4,13,0.0001362999901175499,5048,18,34,1
ACO,10,10,0.4,13,0.15247159998398274,7000,18,19936,1
BFS,10,10,0.4,14,9.370001498609781e-05,6328,18,62,1
DFS,10,10,0.4,14,0.00016439997125416994,5696,20,42,1
Astar,10,10,0.4,14,0.00011730007827281952,5048,18,35,1
ACO,10,10,0.4,14,0.12627520004753023,6808,18,19369,1
BFS,10,10,0.4,15,7.6299998909235e-05,6328,20,48,1
DFS,10,10,0.4,15,0.0001230000052601099,4000,22,32,1
Astar,10,10,0.4,15,0.00010240008123219013,5048,20,30,1
ACO,10,10,0.4,15,0.11810960003640503,7000,20,18692,1
BFS,10,10,0.4,16,0.0001007000682875514,6328,18,59,1
DFS,10,10,0.4,16,0.00017380004283040762,5664,24,43,1
Astar,10,10,0.4,16,0.00012900005094707012,7896,18,37,1
ACO,10,10,0.4,16,0.135780300013721,7128,18,18802,1
BFS,10,10,0.4,17,8.540006820112467e-05,6328,18,63,1
DFS,10,10,0.4,17,0.00017900008242577314,5728,18,53,1
Astar,10,10,0.4,17,0.0001398000167682767,7896,18,51,1
ACO,10,10,0.4,17,0.12316800002008677,7064,18,19407,1
BFS,10,10,0.4,18,9.680003859102726e-05,6328,18,67,1
DFS,10,10,0.4,18,0.00015470001380890608,5792,30,42,1
Astar,10,10,0.4,18,0.00012919993605464697,7896,18,43,1
ACO,10,10,0.4,18,0.1216366000007838,6808,18,18234,1
BFS,10,10,0.4,19,7.159996312111616e-05,4696,24,42,1
DFS,10,10,0.4,19,0.0001303000608459115,4000,24,33,1
Astar,10,10,0.4,19,0.00011889997404068708,5040,24,33,1
ACO,10,10,0.4,19,0.14169519999995828,8280,24,21146,1
BFS,10,10,0.4,20,8.059991523623466e-05,6328,18,51,1
DFS,10,10,0.4,20,0.00012769992463290691,4000,20,32,1
Astar,10,10,0.4,20,0.00013349996879696846,7864,18,36,1
ACO,10,10,0.4,20,0.11927260004449636,6360,18,18580,1
BFS,20,20,0.1,1,0.0004393999697640538,61960,38,361,1
DFS,20,20,0.1,1,0.000328000052832067,23040,96,100,1
Astar,20,20,0.1,1,0.0010756999254226685,80136,38,335,1
ACO,20,20,0.1,1,0.4721628000261262,27312,42,41327,1
BFS,20,20,0.1,2,0.00042180006857961416,61960,38,372,1
DFS,20,20,0.1,2,0.000761799979954958,61888,112,253,1
Astar,20,20,0.1,2,0.0010810000821948051,79376,38,363,1
ACO,20,20,0.1,2,0.45985600003041327,21272,42,42274,1
BFS,20,20,0.1,3,0.0004053999437019229,61960,38,361,1
DFS,20,20,0.1,3,0.0007374000269919634,61728,120,246,1
Astar,20,20,0.1,3,0.0008448000298812985,80088,38,334,1
ACO,20,20,0.1,3,0.5064869000343606,22016,38,44579,1
BFS,20,20,0.1,4,0.0003831000067293644,61960,38,358,1
DFS,20,20,0.1,4,0.0003704000264406204,22912,64,129,1
Astar,20,20,0.1,4,0.000690499902702868,59912,38,327,1
ACO,20,20,0.1,4,0.3618633000878617,21496,38,32435,1
BFS,20,20,0.1,5,0.0004953999305143952,51704,38,336,1
DFS,20,20,0.1,5,0.0008229999803006649,51472,86,265,1
Astar,20,20,0.1,5,0.0005027999868616462,31832,38,202,1
ACO,20,20,0.1,5,0.3532240999629721,18984,38,28881,1
BFS,20,20,0.1,6,0.000471699982881546,61960,38,360,1
DFS,20,20,0.1,6,0.0005638999864459038,23040,56,170,1
Astar,20,20,0.1,6,0.0007393999258056283,31704,38,291,1
ACO,20,20,0.1,6,0.4493080999236554,21272,38,40334,1
BFS,20,20,0.1,7,0.00040930008981376886,61960,38,365,1
DFS,20,20,0.1,7,0.0004425999941304326,22912,126,135,1
Astar,20,20,0.1,7,0.0007702000439167023,79376,38,326,1
ACO,20,20,0.1,7,0.43874759995378554,21312,38,36216,1
BFS,20,20,0.1,8,0.00043990008998662233,61960,38,358,1
DFS,20,20,0.1,8,0.0007828000234439969,51632,108,245,1
Astar,20,20,0.1,8,0.0010330999502912164,79376,38,341,1
ACO,20,20,0.1,8,0.4253412999678403,20720,38,34693,1
BFS,20,20,0.1,9,0.0004529000725597143,61960,38,355,1
DFS,20,20,0.1,9,0.00042610010132193565,23040,94,113,1
Astar,20,20,0.1,9,0.0008181000594049692,79344,38,331,1
ACO,20,20,0.1,9,0.39171160000842065,21536,40,35456,1
BFS,20,20,0.1,10,0.00039549998473376036,61960,38,365,1
DFS,20,20,0.1,10,0.0006445999024435878,51632,112,216,1
Astar,20,20,0.1,10,0.0007649000035598874,79824,38,319,1
ACO,20,20,0.1,10,0.46262660005595535,22240,38,42287,1
BFS,20,20,0.1,11,0.0003974999999627471,61960,38,372,1
DFS,20,20,0.1,11,0.00040849996730685234,23040,102,135,1
Astar,20,20,0.1,11,0.0008146999171003699,79440,38,348,1
ACO,20,20,0.1,11,0.48377260006964207,22920,38,41874,1
BFS,20,20,0.1,12,0.0004341999301686883,61960,38,360,1
DFS,20,20,0.1,12,0.0005222000181674957,22912,114,155,1
Astar,20,20,0.1,12,0.0007208999013528228,31832,38,286,1
ACO,20,20,0.1,12,0.4136919000884518,20568,40,38493,1
BFS,20,20,0.1,13,0.00043430004734545946,61960,38,360,1
DFS,20,20,0.1,13,0.0005008999723941088,23040,130,158,1
Astar,20,20,0.1,13,0.000759500078856945,59880,38,323,1
ACO,20,20,0.1,13,0.4759007999673486,20808,40,42647,1
BFS,20,20,0.1,14,0.000470799976028502,61960,38,357,1
DFS,20,20,0.1,14,0.00045769999269396067,22912,94,127,1
Astar,20,20,0.1,14,0.0009207000257447362,79376,38,340,1
ACO,20,20,0.1,14,0.4557833999861032,22272,38,40425,1
BFS,20,20,0.1,15,0.0003960999893024564,61960,38,358,1
DFS,20,20,0.1,15,0.0005091000348329544,23040,132,158,1
Astar,20,20,0.1,15,0.0007835000287741423,79280,38,340,1
ACO,20,20,0.1,15,0.4313999000005424,20600,38,42446,1
BFS,20,20,0.1,16,0.00042010005563497543,61960,38,357,1
DFS,20,20,0.1,16,0.0006801999406889081,51472,128,232,1
Astar,20,20,0.1,16,0.0008123000152409077,79408,38,343,1
ACO,20,20,0.1,16,0.3786390000022948,21472,38,34161,1
BFS,20,20,0.1,17,0.00040909997187554836,61960,38,371,1
DFS,20,20,0.1,17,0.0006918000290170312,51472,116,218,1
Astar,20,20,0.1,17,0.0008407999994233251,79248,38,368,1
ACO,20,20,0.1,17,0.5279041000176221,30176,40,43941,1
BFS,20,20,0.1,18,0.0004509000573307276,61960,38,366,1
DFS,20,20,0.1,18,0.0007610999746248126,61888,104,252,1
Astar,20,20,0.1,18,0.0007402000483125448,59976,38,311,1
ACO,20,20,0.1,18,0.4243787999730557,21176,40,34648,1
BFS,20,20,0.1,19,0.000408999971114099,61960,38,367,1
DFS,20,20,0.1,19,0.0002984000602737069,15584,54,85,1
Astar,20,20,0.1,19,0.0008277000160887837,79280,38,358,1
ACO,20,20,0.1,19,0.42298720008693635,20176,38,38154,1
BFS,20,20,0.1,20,0.0004412999842315912,61960,38,357,1
DFS,20,20,0.1,20,0.000601499923504889,23040,136,182,1
Astar,20,20,0.1,20,0.0006696999771520495,31832,38,258,1
ACO,20,20,0.1,20,0.3791318000294268,20360,38,33821,1
BFS,20,20,0.2,1,0.0003809999907389283,51704,38,306,1
DFS,20,20,0.2,1,0.0005637999856844544,22816,128,176,1
Astar,20,20,0.2,1,0.0005701999180018902,31800,38,215,1
ACO,20,20,0.2,1,0.4309199000708759,21016,44,41144,1
BFS,20,20,0.2,2,0.000381199992261827,51704,38,328,1
DFS,20,20,0.2,2,0.0002614000113680959,15584,64,77,1
Astar,20,20,0.2,2,0.000633200048469007,31768,38,272,1
ACO,20,20,0.2,2,0.45476699993014336,21312,38,41937,1
BFS,20,20,0.2,3,0.00035099999513477087,51704,38,322,1
DFS,20,20,0.2,3,0.0004790000384673476,22752,78,146,1
